,id,name,host_response_time,host_acceptance_rate,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,availability_30,number_of_reviews,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
3417,753847183675353490,A-Lake Union One Br Apt- Sleep 4,within an hour,47%,77.0,Cascade,47.6414973,-122.3237352,Entire rental unit,Entire home/apt,4,1.0,1.0,3.0,"[""Dedicated workspace"", ""TV"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Dryer"", ""Hangers"", ""Stove"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""Shampoo"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Oven"", ""Heating"", ""Essentials"", ""Hot water kettle"", ""Long term stays allowed"", ""First aid kit"", ""Extra pillows and blankets""]",$132.00,12,1125,1,1,0.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,0.03
3418,753847277965132988,A View Home at Eastlake,within an hour,73%,77.0,Cascade,47.6415,-122.32398,Entire home,Entire home/apt,8,3.0,5.0,5.0,"[""Dedicated workspace"", ""Dishes and silverware"", ""TV"", ""Room-darkening shades"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Beach essentials"", ""Dryer"", ""Hangers"", ""Stove"", ""Patio or balcony"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""Lake access"", ""Shampoo"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Paid parking off premises"", ""Fire extinguisher"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Backyard"", ""Heating"", ""Essentials"", ""Hot water kettle"", ""Long term stays allowed"", ""First aid kit"", ""Extra pillows and blankets""]",$730.00,30,365,30,0,0.0,,,,,,,,
3419,753847795708401239,Seattle Urban Village- S- Roof top view deck,within an hour,47%,77.0,Cascade,47.641497,-122.3237693,Private room in rental unit,Private room,2,1.0,1.0,1.0,"[""Dedicated workspace"", ""Kitchen"", ""Wifi"", ""Dryer"", ""Hangers"", ""Stove"", ""Patio or balcony"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Shampoo"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Paid parking off premises"", ""Fire extinguisher"", ""Pocket wifi"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Heating"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""First aid kit"", ""Extra pillows and blankets""]",$204.00,30,365,30,0,0.0,,,,,,,,
3420,753847837581279168,A-Seattle Urban Village- G-Roof top view deck,within an hour,47%,77.0,Cascade,47.641497,-122.3237693,Private room in home,Private room,2,1.0,0.0,1.0,"[""Dedicated workspace"", ""Dishes and silverware"", ""Room-darkening shades"", ""Bathtub"", ""EV charger"", ""Kitchen"", ""Wifi"", ""Beach essentials"", ""Dryer"", ""Hangers"", ""Stove"", ""Patio or balcony"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Cleaning available during stay"", ""Shampoo"", ""Hair dryer"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Backyard"", ""Heating"", ""Essentials"", ""Free street parking"", ""First aid kit"", ""Extra pillows and blankets""]",$161.00,12,1125,30,3,3864.0,4.67,4.33,4.33,4.67,4.67,3.67,4.67,0.1
3421,753848177091719864,A-Seattle Urban Village- Private room- 1D2,within an hour,47%,77.0,Cascade,47.6414973,-122.3237352,Private room in home,Private room,2,1.0,0.0,1.0,"[""Dedicated workspace"", ""Dishes and silverware"", ""Room-darkening shades"", ""Bathtub"", ""Kitchen"", ""Wifi"", ""Beach essentials"", ""Dryer"", ""Hangers"", ""Stove"", ""Patio or balcony"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""Cleaning available during stay"", ""Shampoo"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Backyard"", ""Heating"", ""Essentials"", ""Hot water kettle"", ""Long term stays allowed"", ""First aid kit"", ""Extra pillows and blankets""]",$127.00,12,1125,30,0,0.0,,,,,,,,
3422,753848318059567675,A-Seattle Urban Village- O- Roof top view deck,within an hour,47%,77.0,Cascade,47.6414966,-122.3239754,Private room in serviced apartment,Private room,2,1.0,0.0,1.0,"[""Dedicated workspace"", ""Dishes and silverware"", ""Room-darkening shades"", ""Bathtub"", ""EV charger"", ""Kitchen"", ""Wifi"", ""Beach essentials"", ""Dryer"", ""Hangers"", ""Stove"", ""Patio or balcony"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Cleaning available during stay"", ""Shampoo"", ""Toaster"", ""Hair dryer"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Backyard"", ""Heating"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""First aid kit"", ""Extra pillows and blankets""]",$102.00,12,1125,0,1,0.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,0.06
3423,753848560629711430,Eastlake Escape - C,within an hour,47%,77.0,Cascade,47.641497,-122.3237693,Private room in home,Private room,2,1.0,1.0,1.0,"[""Dedicated workspace"", ""Dishes and silverware"", ""TV"", ""Kitchen"", ""Wifi"", ""Dryer"", ""Hangers"", ""Stove"", ""Patio or balcony"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""Lake access"", ""Exterior security cameras on property"", ""Shampoo"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Heating"", ""Essentials"", ""Hot water kettle"", ""Long term stays allowed"", ""First aid kit"", ""Extra pillows and blankets""]",$122.00,12,1125,30,0,0.0,,,,,,,,
3424,753849199024196854,Seattle Urban Village- O-private room,within an hour,47%,77.0,Cascade,47.641497,-122.3237693,Private room in home,Private room,2,1.0,1.0,1.0,"[""Dedicated workspace"", ""TV"", ""Kitchen"", ""Wifi"", ""Dryer"", ""Hangers"", ""Stove"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""Shampoo"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Heating"", ""Essentials"", ""Hot water kettle"", ""Long term stays allowed"", ""First aid kit"", ""Extra pillows and blankets""]",$110.00,12,1125,30,3,2640.0,4.33,4.33,4.33,5.0,4.67,5.0,3.67,0.09
3425,753849392472125199,Seattle Urvan Village- R,within an hour,47%,77.0,Cascade,47.641497,-122.3237693,Private room in home,Private room,2,1.0,1.0,1.0,"[""Dedicated workspace"", ""TV"", ""Kitchen"", ""Wifi"", ""Dryer"", ""Hangers"", ""Stove"", ""Patio or balcony"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""Shampoo"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Heating"", ""Essentials"", ""Hot water kettle"", ""Long term stays allowed"", ""First aid kit"", ""Extra pillows and blankets""]",$122.00,12,1125,30,1,0.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,0.05
3426,753849604393884222,A-Center of Capital Hill- 3,within an hour,47%,77.0,Capitol Hill,47.62007,-122.31899,Private room in home,Private room,2,1.0,0.0,2.0,"[""Luggage dropoff allowed"", ""Free parking on premises"", ""Dedicated workspace"", ""Dishes and silverware"", ""Room-darkening shades"", ""Kitchen"", ""Wifi"", ""Dryer"", ""Hangers"", ""Stove"", ""Patio or balcony"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Shampoo"", ""Hair dryer"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Backyard"", ""Oven"", ""Heating"", ""Essentials"", ""Long term stays allowed"", ""First aid kit"", ""Extra pillows and blankets""]",$87.00,12,1125,30,1,2088.0,1.0,2.0,2.0,3.0,2.0,4.0,2.0,0.88
3427,753849767083686778,A-Capital Hill Hideaway,within an hour,47%,77.0,Capitol Hill,47.62007,-122.3189931,Private room in home,Private room,2,1.0,1.0,1.0,"[""Luggage dropoff allowed"", ""Free parking on premises"", ""Dedicated workspace"", ""Dishes and silverware"", ""Room-darkening shades"", ""Kitchen"", ""Wifi"", ""Dryer"", ""Hangers"", ""Stove"", ""Patio or balcony"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Shampoo"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Backyard"", ""Oven"", ""Heating"", ""Essentials"", ""Long term stays allowed"", ""First aid kit"", ""Extra pillows and blankets""]",$136.00,12,1125,30,0,0.0,,,,,,,,
3428,753850260401806517,A-Center of Capital Hill-  3,within an hour,47%,77.0,Capitol Hill,47.62007,-122.3189931,Private room in home,Private room,2,1.0,1.0,1.0,"[""Luggage dropoff allowed"", ""Free parking on premises"", ""Dedicated workspace"", ""Dishes and silverware"", ""Room-darkening shades"", ""Kitchen"", ""Wifi"", ""Dryer"", ""Hangers"", ""Stove"", ""Patio or balcony"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Shampoo"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Backyard"", ""Oven"", ""Heating"", ""Essentials"", ""Hot water kettle"", ""Long term stays allowed"", ""First aid kit"", ""Extra pillows and blankets""]",$120.00,12,1125,30,1,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.03
3431,753851985336879657,Cal Anderson Park Escape 1,within an hour,47%,77.0,Capitol Hill,47.6200422,-122.3192412,Entire home,Entire home/apt,5,1.0,3.0,4.0,"[""Free parking on premises"", ""Dedicated workspace"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Dryer"", ""Hangers"", ""Stove"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""Shampoo"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Smoke alarm"", ""Fire extinguisher"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Heating"", ""Essentials"", ""Hot water kettle"", ""Long term stays allowed"", ""First aid kit"", ""Extra pillows and blankets""]",$390.00,30,365,30,0,0.0,,,,,,,,
3432,753853055743804438,Center of Capital Hill -Private Room -1,within an hour,73%,77.0,Capitol Hill,47.62007,-122.31899,Private room in home,Private room,2,1.0,1.0,1.0,"[""Luggage dropoff allowed"", ""Free parking on premises"", ""Dedicated workspace"", ""Dishes and silverware"", ""Kitchen"", ""Wifi"", ""Beach essentials"", ""Dryer"", ""Hangers"", ""Stove"", ""Patio or balcony"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""Shampoo"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Paid parking off premises"", ""Fire extinguisher"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Backyard"", ""Oven"", ""Heating"", ""Essentials"", ""Hot water kettle"", ""Long term stays allowed"", ""First aid kit""]",$87.00,12,1125,0,2,2088.0,3.5,3.5,3.5,5.0,4.5,4.0,3.0,0.07
3433,753853283478211431,Capital Hill Little Oasis-2,within an hour,73%,77.0,Capitol Hill,47.62007,-122.31899,Private room in home,Private room,1,1.0,1.0,1.0,"[""Free parking on premises"", ""Dedicated workspace"", ""Dishes and silverware"", ""Room-darkening shades"", ""Kitchen"", ""Wifi"", ""Beach essentials"", ""Dryer"", ""Hangers"", ""Stove"", ""Patio or balcony"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Shampoo"", ""Single level home"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Paid parking off premises"", ""Fire extinguisher"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Backyard"", ""Oven"", ""Heating"", ""Essentials"", ""Hot water kettle"", ""Long term stays allowed"", ""First aid kit"", ""Extra pillows and blankets""]",$100.00,12,365,30,4,0.0,2.75,2.75,2.5,3.75,2.75,2.75,2.5,0.12
3434,753853754706594189,Capital Hill Little Oasis-2,within an hour,47%,77.0,Capitol Hill,47.62007,-122.3189931,Private room in home,Private room,2,1.0,1.0,1.0,"[""Free parking on premises"", ""Dedicated workspace"", ""Dishes and silverware"", ""Room-darkening shades"", ""Kitchen"", ""Wifi"", ""Beach essentials"", ""Dryer"", ""Hangers"", ""Stove"", ""Patio or balcony"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""BBQ grill"", ""Shampoo"", ""Single level home"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Paid parking off premises"", ""Fire extinguisher"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Backyard"", ""Oven"", ""Heating"", ""Essentials"", ""Hot water kettle"", ""Long term stays allowed"", ""First aid kit"", ""Extra pillows and blankets""]",$100.00,30,365,30,2,0.0,3.0,3.5,2.5,4.5,3.5,4.5,3.0,0.07
3435,754589021558502614,Studio apartment in Rainier beach,within an hour,100%,3.0,Rainier Valley,47.52157,-122.26451,Entire rental unit,Entire home/apt,3,1.0,0.0,2.0,"[""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""Free washer \u2013 In unit"", ""Room-darkening shades"", ""Coffee maker: drip coffee maker"", ""Electric stove"", ""Kitchen"", ""Wifi"", ""Hangers"", ""55 inch HDTV"", ""Cleaning products"", ""Iron"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Exterior security cameras on property"", ""Free dryer \u2013 In unit"", ""Lake view"", ""Toaster"", ""Keypad"", ""Hair dryer"", ""Hot water"", ""Shared patio or balcony"", ""Marina view"", ""Smoke alarm"", ""Bed linens"", ""Shared beach access"", ""Fire extinguisher"", ""Beach view"", ""Resort access"", ""Microwave"", ""Cooking basics"", ""Radiant heating"", ""Refrigerator"", ""Oven"", ""Clothing storage: closet"", ""Wine glasses"", ""Essentials"", ""Free street parking"", ""First aid kit"", ""Extra pillows and blankets""]",$74.00,30,365,15,4,4440.0,4.5,4.5,4.5,4.75,4.5,4.0,4.5,0.16
3436,754937998477380475,"Blueground | First Hill, gym, patio & coworking",,,,Downtown,47.6082792,-122.330229,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Self check-in"", ""High chair"", ""TV"", ""Bathtub"", ""Kitchen"", ""Private entrance"", ""Washer \u2013\u00a0In unit"", ""Hangers"", ""Crib"", ""Iron"", ""Carbon monoxide alarm"", ""Gym"", ""Shampoo"", ""Elevator"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Dryer \u2013\u00a0In unit"", ""Lockbox"", ""Smoke alarm"", ""Bed linens"", ""Fast wifi \u2013 106 Mbps"", ""Pets allowed"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Pool"", ""Paid parking on premises"", ""Heating"", ""Essentials"", ""Long term stays allowed""]",$254.00,31,1125,24,0,0.0,,,,,,,,
3439,755207103007238984,"HotTub, Water Views, Near Stadiums",within an hour,100%,1.0,Beacon Hill,47.59095,-122.31787,Entire townhouse,Entire home/apt,7,2.0,3.0,2.0,"[""Free parking on premises"", ""Dedicated workspace"", ""Self check-in"", ""Dishes and silverware"", ""Portable air conditioning"", ""TV"", ""Room-darkening shades"", ""City skyline view"", ""Bathtub"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Clothing storage"", ""Hangers"", ""Cleaning products"", ""Washer"", ""AC - split type ductless system"", ""Bay view"", ""Ocean view"", ""Body soap"", ""Carbon monoxide alarm"", ""Smart lock"", ""Shower gel"", ""Shampoo"", ""Sea view"", ""Private hot tub - available all year, open specific hours"", ""Hair dryer"", ""Hot water"", ""Dryer \u2013\u00a0In unit"", ""Smoke alarm"", ""Bed linens"", ""Pets allowed"", ""Fire extinguisher"", ""Park view"", ""Cooking basics"", ""Radiant heating"", ""Fire pit"", ""Conditioner"", ""Essentials"", ""First aid kit"", ""Extra pillows and blankets""]",$238.00,1,1125,21,116,57120.0,4.97,4.94,4.97,4.99,4.97,4.78,4.88,3.4
3440,755384545328937047,Oasis in the Heart of Seattle,within a few hours,90%,5.0,Capitol Hill,47.6284849,-122.3205472,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Luggage dropoff allowed"", ""Free parking on premises"", ""Dedicated workspace"", ""Dishes and silverware"", ""Central heating"", ""Sun loungers"", ""TV"", ""Outdoor furniture"", ""Room-darkening shades"", ""Outdoor dining area"", ""Kitchen"", ""Wifi"", ""Hangers"", ""Stove"", ""Patio or balcony"", ""Cleaning products"", ""Iron"", ""Portable fans"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Cleaning available during stay"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Laundromat nearby"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Backyard"", ""Clothing storage: closet"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""Extra pillows and blankets""]",$124.00,30,180,30,25,31620.0,4.96,4.88,4.84,4.88,4.8,5.0,4.8,0.8
3441,755544011447931238,"Blueground | First Hill, gym, patio & coworking",,,,Downtown,47.6082792,-122.330229,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Fast wifi \u2013 103 Mbps"", ""Self check-in"", ""High chair"", ""TV"", ""Bathtub"", ""Kitchen"", ""Private entrance"", ""Washer \u2013\u00a0In unit"", ""Hangers"", ""Crib"", ""Iron"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Gym"", ""Shampoo"", ""Elevator"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Dryer \u2013\u00a0In unit"", ""Lockbox"", ""Smoke alarm"", ""Bed linens"", ""Pets allowed"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Pool"", ""Paid parking on premises"", ""Heating"", ""Essentials"", ""Long term stays allowed""]",$188.00,31,1125,0,0,0.0,,,,,,,,
3442,755815112828235816,Two-bedroom Townhouse w/ Parking (Best Location!),within an hour,90%,7.0,Ballard,47.66902,-122.39103,Entire townhouse,Entire home/apt,4,1.5,2.0,2.0,"[""Free parking on premises"", ""Dedicated workspace"", ""Self check-in"", ""Dishes and silverware"", ""Free washer \u2013 In unit"", ""Electric stove"", ""Kitchen"", ""Wifi"", ""Hangers"", ""Indoor fireplace: gas"", ""Iron"", ""Dining table"", ""Portable fans"", ""Carbon monoxide alarm"", ""Exterior security cameras on property"", ""Free dryer \u2013 In unit"", ""Hair dryer"", ""Hot water"", ""Lockbox"", ""Smoke alarm"", ""Fire extinguisher"", ""TV with Fire TV"", ""Microwave"", ""Dishwasher"", ""Oven"", ""Hot water kettle""]",$189.00,30,365,6,3,22680.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.11
3443,756167625428804683,4b1b Central House @Ballard /Close to Green Lake,within an hour,98%,86.0,Ballard,47.67364,-122.36204,Entire home,Entire home/apt,8,1.0,4.0,5.0,"[""Baking sheet"", ""Luggage dropoff allowed"", ""Free parking on premises"", ""Dedicated workspace"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""Central heating"", ""TV"", ""Room-darkening shades"", ""City skyline view"", ""Bathtub"", ""Electric stove"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Hangers"", ""Cleaning products"", ""Washer"", ""Iron"", ""Stainless steel oven"", ""Dining table"", ""Body soap"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Safe"", ""Smart lock"", ""Cleaning available during stay"", ""Shower gel"", ""Exterior security cameras on property"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Toaster"", ""Hair dryer"", ""Shared backyard \u2013 Fully fenced"", ""Hot water"", ""Laundromat nearby"", ""Smoke alarm"", ""Bed linens"", ""Mountain view"", ""Fire extinguisher"", ""Coffee"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Coffee maker: Keurig coffee machine"", ""Board games"", ""Clothing storage: walk-in closet and closet"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""First aid kit"", ""Extra pillows and blankets""]",$160.00,2,365,15,94,38400.0,4.9,4.88,4.8,4.96,4.96,4.84,4.69,2.78
3447,757340160242068363,Stunning Queen Anne Hill Haven-Rooftop Lake Views!,within an hour,99%,35.0,Queen Anne,47.64156539616816,-122.34465502746038,Entire townhouse,Entire home/apt,6,2.5,3.0,3.0,"[""Baking sheet"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""Central heating"", ""Free washer \u2013 In unit"", ""Outdoor furniture"", ""Room-darkening shades"", ""Bertazzoni stainless steel oven"", ""Bathtub"", ""Kitchen"", ""Wifi"", ""Private entrance"", ""Ginger Lily Farms Botanicals- 100% vegan and cruelty free (Green tea, lemongrass scent) conditioner"", ""Hangers"", ""Cleaning products"", ""Iron"", ""Dining table"", ""AC - split type ductless system"", ""Free driveway parking on premises \u2013 1 space"", ""Portable fans"", ""Carbon monoxide alarm"", ""Ethernet connection"", ""BBQ grill"", ""Shower gel"", ""Exterior security cameras on property"", ""Free dryer \u2013 In unit"", ""Lake view"", ""Toaster"", ""Keypad"", ""Hair dryer"", ""Ginger Lily Farms Botanicals- 100% vegan and cruelty free (Green tea, lemongrass scent) body soap"", ""Hot water"", ""Ginger Lily Farms Botanicals- 100% vegan and cruelty free (Green tea, lemongrass scent) shampoo"", ""Clothing storage: closet and dresser"", ""Smoke alarm"", ""60 inch HDTV with Fire TV"", ""Bed linens"", ""Fire extinguisher"", ""Kitchen Aid refrigerator"", ""Coffee"", ""Drying rack for clothing"", ""Private patio or balcony"", ""Microwave"", ""Cooking basics"", ""Dishwasher"", ""Bertazzoni gas stove"", ""Coffee maker: Keurig coffee machine"", ""Fire pit"", ""Wine glasses"", ""Essentials"", ""Barbecue utensils"", ""Long term stays allowed"", ""First aid kit"", ""Extra pillows and blankets""]",$226.00,2,270,0,72,21696.0,4.82,4.85,4.89,4.88,4.88,4.94,4.72,2.16
3448,758110719082234397,Urban basecamp- 1 bedroom garden view - lake /park,,100%,1.0,Rainier Valley,47.57594,-122.28769,Entire guest suite,Entire home/apt,4,,1.0,,"[""Dedicated workspace"", ""50 inch HDTV with Netflix"", ""Freezer"", ""Self check-in"", ""Dishes and silverware"", ""Beach access"", ""Free washer \u2013 In unit"", ""Outdoor furniture"", ""Bluetooth sound system"", ""Clothing storage: walk-in closet, closet, and wardrobe"", ""Outdoor dining area"", ""Kitchen"", ""Private entrance"", ""Hangers"", ""Gas stove"", ""Cleaning products"", ""Iron"", ""Dining table"", ""Fast wifi \u2013 114 Mbps"", ""Body soap"", ""Carbon monoxide alarm"", ""Lake access"", ""BBQ grill"", ""Books and reading material"", ""Shower gel"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Single level home"", ""Toaster"", ""Keypad"", ""Hair dryer"", ""Shared backyard \u2013 Fully fenced"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Pets allowed"", ""Fire extinguisher"", ""Coffee"", ""Blender"", ""Garden view"", ""Microwave"", ""Refrigerator"", ""Cooking basics"", ""Dishwasher"", ""Heating"", ""Conditioner"", ""Wine glasses"", ""Essentials"", ""Hot water kettle"", ""Free street parking"", ""Extra pillows and blankets""]",,1,60,0,33,,4.97,4.97,4.91,4.97,4.94,5.0,4.94,0.97
3449,758247988632424140,A-Seattle Urban Village- G-Roof top view deck,within an hour,73%,77.0,Cascade,47.6415,-122.32377,Private room in home,Private room,2,1.0,0.0,1.0,"[""Dedicated workspace"", ""Dishes and silverware"", ""Room-darkening shades"", ""Bathtub"", ""EV charger"", ""Kitchen"", ""Wifi"", ""Beach essentials"", ""Dryer"", ""Hangers"", ""Stove"", ""Patio or balcony"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Lake access"", ""Cleaning available during stay"", ""Shampoo"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Backyard"", ""Heating"", ""Essentials"", ""Free street parking"", ""First aid kit"", ""Extra pillows and blankets""]",$136.00,12,1125,30,0,0.0,,,,,,,,
3450,758248673288797530,Eastlake Little Oasis- SH,within an hour,73%,77.0,Cascade,47.6415,-122.32377,Private room in home,Private room,2,0.0,0.0,1.0,"[""Dedicated workspace"", ""TV"", ""Kitchen"", ""Wifi"", ""Dryer"", ""Hangers"", ""Stove"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""Lake access"", ""Exterior security cameras on property"", ""Shampoo"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Heating"", ""Essentials"", ""Hot water kettle"", ""Long term stays allowed"", ""First aid kit"", ""Extra pillows and blankets""]",$117.00,12,1125,30,1,0.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,0.04
3451,758248946447417906,Eastlake Escape -Private room,within an hour,73%,77.0,Cascade,47.6415,-122.32377,Private room in home,Private room,2,1.0,1.0,1.0,"[""Dedicated workspace"", ""Dishes and silverware"", ""TV"", ""Kitchen"", ""Wifi"", ""Dryer"", ""Hangers"", ""Stove"", ""Patio or balcony"", ""Washer"", ""Iron"", ""Carbon monoxide alarm"", ""Lake access"", ""Shampoo"", ""Toaster"", ""Hair dryer"", ""Hot water"", ""Coffee maker"", ""Smoke alarm"", ""Bed linens"", ""Fire extinguisher"", ""Microwave"", ""Cooking basics"", ""Refrigerator"", ""Dishwasher"", ""Oven"", ""Heating"", ""Essentials"", ""Hot water kettle"", ""Long term stays allowed"", ""First aid kit"", ""Extra pillows and blankets""]",$123.00,30,1125,30,2,0.0,4.0,4.5,3.5,4.5,4.5,4.5,4.5,0.06
